num_nodes,num_colors,edge_prob,num_samples,Algorithm,SHD,CHD
6,2,0.2,500,MCMC,1.0,1
6,2,0.2,500,GES,2.0,
6,2,0.2,100,MCMC,4.0,1
6,2,0.2,100,GES,2.0,
4,2,0.8,1000,MCMC,0.0,0
4,2,0.8,1000,GES,5.0,
4,2,0.8,500,MCMC,0.0,0
4,2,0.8,500,GES,5.0,
4,2,0.8,100,MCMC,0.0,0
4,2,0.8,100,GES,8.0,
4,2,0.8,1000,MCMC,0.0,0
4,2,0.8,1000,GES,5.0,
4,2,0.8,500,MCMC,0.0,0
4,2,0.8,500,GES,5.0,
4,2,0.8,100,MCMC,1.0,0
4,2,0.8,100,GES,5.0,
4,2,0.6,1000,MCMC,0.0,0
4,2,0.6,1000,GES,5.0,
4,2,0.6,500,MCMC,1.0,1
4,2,0.6,500,GES,5.0,
4,2,0.6,100,MCMC,6.0,2
4,2,0.6,100,GES,6.0,
4,2,0.6,1000,MCMC,2.0,1
4,2,0.6,1000,GES,8.0,
4,2,0.6,500,MCMC,2.0,1
4,2,0.6,500,GES,8.0,
4,2,0.6,100,MCMC,0.0,0
4,2,0.6,100,GES,8.0,
4,2,0.4,1000,MCMC,0.0,0
4,2,0.4,1000,GES,0.0,
4,2,0.4,500,MCMC,0.0,0
4,2,0.4,500,GES,0.0,
4,2,0.4,100,MCMC,1.0,0
4,2,0.4,100,GES,2.0,
4,2,0.4,1000,MCMC,0.0,0
4,2,0.4,1000,GES,2.0,
4,2,0.4,500,MCMC,2.0,0
4,2,0.4,500,GES,2.0,
4,2,0.4,100,MCMC,1.0,0
4,2,0.4,100,GES,2.0,
4,2,0.2,1000,MCMC,0.0,0
4,2,0.2,1000,GES,3.0,
4,2,0.2,500,MCMC,1.0,0
4,2,0.2,500,GES,3.0,
4,2,0.2,100,MCMC,1.0,0
4,2,0.2,100,GES,1.0,
4,2,0.2,1000,MCMC,0.0,0
4,2,0.2,1000,GES,0.0,
4,2,0.2,500,MCMC,0.0,0
4,2,0.2,500,GES,0.0,
4,2,0.2,100,MCMC,0.0,0
4,2,0.2,100,GES,0.0,
8,4,0.8,1000,MCMC,14.0,3
8,4,0.8,1000,GES,19.0,
8,4,0.8,500,MCMC,17.0,3
8,4,0.8,500,GES,24.0,
8,4,0.8,100,MCMC,17.0,3
8,4,0.8,100,GES,25.0,
8,2,0.8,1000,MCMC,26.0,5
8,2,0.8,1000,GES,27.0,
8,2,0.8,500,MCMC,34.0,4
8,2,0.8,500,GES,26.0,
8,2,0.8,100,MCMC,27.0,5
8,2,0.8,100,GES,26.0,
8,4,0.6,1000,MCMC,24.0,4
8,4,0.6,1000,GES,17.0,
8,4,0.6,500,MCMC,22.0,3
8,4,0.6,500,GES,8.0,
8,4,0.6,100,MCMC,18.0,4
8,4,0.6,100,GES,17.0,
8,2,0.6,1000,MCMC,9.0,3
8,2,0.6,1000,GES,21.0,
8,2,0.6,500,MCMC,8.0,4
8,2,0.6,500,GES,21.0,
8,2,0.6,100,MCMC,10.0,3
8,2,0.6,100,GES,11.0,
8,4,0.4,1000,MCMC,5.0,2
8,4,0.4,1000,GES,7.0,
8,4,0.4,500,MCMC,12.0,3
8,4,0.4,500,GES,7.0,
8,4,0.4,100,MCMC,13.0,2
8,4,0.4,100,GES,10.0,
8,2,0.4,1000,MCMC,9.0,3
8,2,0.4,1000,GES,1.0,
8,2,0.4,500,MCMC,10.0,1
8,2,0.4,500,GES,1.0,
8,2,0.4,100,MCMC,18.0,3
8,2,0.4,100,GES,3.0,
8,4,0.2,1000,MCMC,9.0,3
8,4,0.2,1000,GES,3.0,
8,4,0.2,500,MCMC,9.0,3
8,4,0.2,500,GES,5.0,
8,4,0.2,100,MCMC,8.0,2
8,4,0.2,100,GES,5.0,
8,2,0.2,1000,MCMC,5.0,1
8,2,0.2,1000,GES,1.0,
8,2,0.2,500,MCMC,6.0,2
8,2,0.2,500,GES,1.0,
8,2,0.2,100,MCMC,6.0,2
8,2,0.2,100,GES,1.0,
6,3,0.8,1000,MCMC,4.0,2
6,3,0.8,1000,GES,12.0,
6,3,0.8,500,MCMC,8.0,2
6,3,0.8,500,GES,12.0,
6,3,0.8,100,MCMC,7.0,2
6,3,0.8,100,GES,8.0,
6,2,0.8,1000,MCMC,17.0,3
6,2,0.8,1000,GES,15.0,
6,2,0.8,500,MCMC,13.0,3
6,2,0.8,500,GES,20.0,
6,2,0.8,100,MCMC,16.0,2
6,2,0.8,100,GES,18.0,
6,3,0.6,1000,MCMC,12.0,4
6,3,0.6,1000,GES,7.0,
6,3,0.6,500,MCMC,8.0,2
6,3,0.6,500,GES,17.0,
6,3,0.6,100,MCMC,6.0,2
6,3,0.6,100,GES,8.0,
6,2,0.6,1000,MCMC,10.0,1
6,2,0.6,1000,GES,0.0,
6,2,0.6,500,MCMC,5.0,2
6,2,0.6,500,GES,9.0,
6,2,0.6,100,MCMC,3.0,1
6,2,0.6,100,GES,12.0,
6,3,0.4,1000,MCMC,2.0,2
6,3,0.4,1000,GES,5.0,
6,3,0.4,500,MCMC,6.0,1
6,3,0.4,500,GES,7.0,
6,3,0.4,100,MCMC,4.0,3
6,3,0.4,100,GES,7.0,
6,2,0.4,1000,MCMC,2.0,2
6,2,0.4,1000,GES,8.0,
6,2,0.4,500,MCMC,2.0,2
6,2,0.4,500,GES,2.0,
6,2,0.4,100,MCMC,1.0,2
6,2,0.4,100,GES,4.0,
6,3,0.2,1000,MCMC,3.0,0
6,3,0.2,1000,GES,2.0,
6,3,0.2,500,MCMC,3.0,1
6,3,0.2,500,GES,2.0,
6,3,0.2,100,MCMC,5.0,0
6,3,0.2,100,GES,2.0,
6,2,0.2,1000,MCMC,3.0,0
6,2,0.2,1000,GES,2.0,
6,2,0.2,500,MCMC,2.0,1
6,2,0.2,500,GES,1.0,
6,2,0.2,100,MCMC,3.0,3
6,2,0.2,100,GES,6.0,
4,2,0.8,1000,MCMC,0.0,2
4,2,0.8,1000,GES,7.0,
4,2,0.8,500,MCMC,0.0,1
4,2,0.8,500,GES,7.0,
4,2,0.8,100,MCMC,1.0,1
4,2,0.8,100,GES,4.0,
4,2,0.8,1000,MCMC,0.0,0
4,2,0.8,1000,GES,6.0,
4,2,0.8,500,MCMC,5.0,1
4,2,0.8,500,GES,7.0,
4,2,0.8,100,MCMC,2.0,0
4,2,0.8,100,GES,5.0,
4,2,0.6,1000,MCMC,2.0,0
4,2,0.6,1000,GES,1.0,
4,2,0.6,500,MCMC,0.0,0
4,2,0.6,500,GES,1.0,
4,2,0.6,100,MCMC,2.0,0
4,2,0.6,100,GES,1.0,
4,2,0.6,1000,MCMC,0.0,0
4,2,0.6,1000,GES,1.0,
4,2,0.6,500,MCMC,2.0,0
4,2,0.6,500,GES,1.0,
4,2,0.6,100,MCMC,4.0,2
4,2,0.6,100,GES,4.0,
4,2,0.4,1000,MCMC,7.0,2
4,2,0.4,1000,GES,5.0,
4,2,0.4,500,MCMC,6.0,1
4,2,0.4,500,GES,5.0,
4,2,0.4,100,MCMC,3.0,2
4,2,0.4,100,GES,3.0,
4,2,0.4,1000,MCMC,0.0,1
4,2,0.4,1000,GES,0.0,
4,2,0.4,500,MCMC,0.0,1
4,2,0.4,500,GES,0.0,
4,2,0.4,100,MCMC,0.0,2
4,2,0.4,100,GES,0.0,
4,2,0.2,1000,MCMC,0.0,1
4,2,0.2,1000,GES,2.0,
4,2,0.2,500,MCMC,2.0,0
4,2,0.2,500,GES,2.0,
4,2,0.2,100,MCMC,0.0,0
4,2,0.2,100,GES,2.0,
4,2,0.2,1000,MCMC,0.0,0
4,2,0.2,1000,GES,0.0,
4,2,0.2,500,MCMC,0.0,0
4,2,0.2,500,GES,0.0,
4,2,0.2,100,MCMC,2.0,0
4,2,0.2,100,GES,2.0,
8,4,0.8,1000,MCMC,37.0,3
8,4,0.8,1000,GES,38.0,
8,4,0.8,500,MCMC,15.0,4
8,4,0.8,500,GES,29.0,
8,4,0.8,100,MCMC,24.0,3
8,4,0.8,100,GES,20.0,
8,2,0.8,1000,MCMC,26.0,5
8,2,0.8,1000,GES,20.0,
8,2,0.8,500,MCMC,14.0,2
8,2,0.8,500,GES,16.0,
8,2,0.8,100,MCMC,13.0,5
8,2,0.8,100,GES,24.0,
8,4,0.6,1000,MCMC,17.0,4
8,4,0.6,1000,GES,21.0,
8,4,0.6,500,MCMC,15.0,3
8,4,0.6,500,GES,19.0,
8,4,0.6,100,MCMC,18.0,5
8,4,0.6,100,GES,20.0,
8,2,0.6,1000,MCMC,17.0,5
8,2,0.6,1000,GES,9.0,
8,2,0.6,500,MCMC,9.0,4
8,2,0.6,500,GES,25.0,
8,2,0.6,100,MCMC,13.0,4
8,2,0.6,100,GES,15.0,
8,4,0.4,1000,MCMC,10.0,2
8,4,0.4,1000,GES,7.0,
8,4,0.4,500,MCMC,10.0,4
8,4,0.4,500,GES,3.0,
8,4,0.4,100,MCMC,10.0,2
8,4,0.4,100,GES,9.0,
8,2,0.4,1000,MCMC,24.0,6
8,2,0.4,1000,GES,5.0,
8,2,0.4,500,MCMC,18.0,5
8,2,0.4,500,GES,5.0,
8,2,0.4,100,MCMC,6.0,4
8,2,0.4,100,GES,11.0,
8,4,0.2,1000,MCMC,8.0,2
8,4,0.2,1000,GES,3.0,
8,4,0.2,500,MCMC,6.0,2
8,4,0.2,500,GES,5.0,
8,4,0.2,100,MCMC,6.0,1
8,4,0.2,100,GES,5.0,
8,2,0.2,1000,MCMC,9.0,3
8,2,0.2,1000,GES,1.0,
8,2,0.2,500,MCMC,6.0,2
8,2,0.2,500,GES,1.0,
8,2,0.2,100,MCMC,7.0,2
8,2,0.2,100,GES,1.0,
6,3,0.8,1000,MCMC,10.0,2
6,3,0.8,1000,GES,14.0,
6,3,0.8,500,MCMC,5.0,2
6,3,0.8,500,GES,14.0,
6,3,0.8,100,MCMC,4.0,1
6,3,0.8,100,GES,13.0,
6,2,0.8,1000,MCMC,13.0,3
6,2,0.8,1000,GES,10.0,
6,2,0.8,500,MCMC,11.0,4
6,2,0.8,500,GES,10.0,
6,2,0.8,100,MCMC,7.0,3
6,2,0.8,100,GES,9.0,
6,3,0.6,1000,MCMC,7.0,2
6,3,0.6,1000,GES,9.0,
6,3,0.6,500,MCMC,1.0,1
6,3,0.6,500,GES,9.0,
6,3,0.6,100,MCMC,5.0,2
6,3,0.6,100,GES,9.0,
6,2,0.6,1000,MCMC,2.0,1
6,2,0.6,1000,GES,4.0,
6,2,0.6,500,MCMC,3.0,1
6,2,0.6,500,GES,4.0,
6,2,0.6,100,MCMC,9.0,2
6,2,0.6,100,GES,4.0,
6,3,0.4,1000,MCMC,2.0,0
6,3,0.4,1000,GES,1.0,
6,3,0.4,500,MCMC,3.0,2
6,3,0.4,500,GES,1.0,
6,3,0.4,100,MCMC,4.0,1
6,3,0.4,100,GES,1.0,
6,2,0.4,1000,MCMC,4.0,2
6,2,0.4,1000,GES,7.0,
6,2,0.4,500,MCMC,3.0,1
6,2,0.4,500,GES,7.0,
6,2,0.4,100,MCMC,7.0,2
6,2,0.4,100,GES,9.0,
6,3,0.2,1000,MCMC,3.0,0
6,3,0.2,1000,GES,3.0,
6,3,0.2,500,MCMC,3.0,0
6,3,0.2,500,GES,3.0,
6,3,0.2,100,MCMC,3.0,0
6,3,0.2,100,GES,5.0,
6,2,0.2,1000,MCMC,3.0,0
6,2,0.2,1000,GES,0.0,
6,2,0.2,500,MCMC,2.0,1
6,2,0.2,500,GES,0.0,
6,2,0.2,100,MCMC,2.0,1
6,2,0.2,100,GES,2.0,
4,2,0.8,1000,MCMC,0.0,0
4,2,0.8,1000,GES,2.0,
4,2,0.8,500,MCMC,2.0,1
4,2,0.8,500,GES,2.0,
4,2,0.8,100,MCMC,6.0,2
4,2,0.8,100,GES,2.0,
4,2,0.8,1000,MCMC,0.0,0
4,2,0.8,1000,GES,9.0,
4,2,0.8,500,MCMC,7.0,1
4,2,0.8,500,GES,9.0,
4,2,0.8,100,MCMC,3.0,2
4,2,0.8,100,GES,7.0,
4,2,0.6,1000,MCMC,1.0,0
4,2,0.6,1000,GES,4.0,
4,2,0.6,500,MCMC,1.0,0
4,2,0.6,500,GES,2.0,
4,2,0.6,100,MCMC,0.0,0
4,2,0.6,100,GES,4.0,
4,2,0.6,1000,MCMC,2.0,0
4,2,0.6,1000,GES,3.0,
4,2,0.6,500,MCMC,0.0,0
4,2,0.6,500,GES,3.0,
4,2,0.6,100,MCMC,1.0,0
4,2,0.6,100,GES,3.0,
4,2,0.4,1000,MCMC,0.0,0
4,2,0.4,1000,GES,2.0,
4,2,0.4,500,MCMC,0.0,0
4,2,0.4,500,GES,2.0,
4,2,0.4,100,MCMC,0.0,1
4,2,0.4,100,GES,2.0,
4,2,0.4,1000,MCMC,0.0,0
4,2,0.4,1000,GES,0.0,
4,2,0.4,500,MCMC,0.0,0
4,2,0.4,500,GES,0.0,
4,2,0.4,100,MCMC,0.0,0
4,2,0.4,100,GES,0.0,
4,2,0.2,1000,MCMC,0.0,0
4,2,0.2,1000,GES,1.0,
4,2,0.2,500,MCMC,0.0,0
4,2,0.2,500,GES,1.0,
4,2,0.2,100,MCMC,0.0,0
4,2,0.2,100,GES,1.0,
4,2,0.2,1000,MCMC,0.0,0
4,2,0.2,1000,GES,0.0,
4,2,0.2,500,MCMC,0.0,0
4,2,0.2,500,GES,0.0,
4,2,0.2,100,MCMC,0.0,0
4,2,0.2,100,GES,0.0,
8,4,0.8,1000,MCMC,14.0,4
8,4,0.8,1000,GES,30.0,
8,4,0.8,500,MCMC,26.0,3
8,4,0.8,500,GES,19.0,
8,4,0.8,100,MCMC,20.0,3
8,4,0.8,100,GES,24.0,
8,2,0.8,1000,MCMC,13.0,4
8,2,0.8,1000,GES,9.0,
8,2,0.8,500,MCMC,14.0,5
8,2,0.8,500,GES,10.0,
8,2,0.8,100,MCMC,8.0,2
8,2,0.8,100,GES,13.0,
8,4,0.6,1000,MCMC,18.0,4
8,4,0.6,1000,GES,19.0,
8,4,0.6,500,MCMC,11.0,2
8,4,0.6,500,GES,17.0,
8,4,0.6,100,MCMC,16.0,3
8,4,0.6,100,GES,13.0,
8,2,0.6,1000,MCMC,29.0,4
8,2,0.6,1000,GES,29.0,
8,2,0.6,500,MCMC,13.0,5
8,2,0.6,500,GES,32.0,
8,2,0.6,100,MCMC,25.0,3
8,2,0.6,100,GES,27.0,
8,4,0.4,1000,MCMC,16.0,2
8,4,0.4,1000,GES,17.0,
8,4,0.4,500,MCMC,32.0,3
8,4,0.4,500,GES,18.0,
8,4,0.4,100,MCMC,17.0,2
8,4,0.4,100,GES,20.0,
8,2,0.4,1000,MCMC,9.0,5
8,2,0.4,1000,GES,4.0,
8,2,0.4,500,MCMC,8.0,2
8,2,0.4,500,GES,4.0,
8,2,0.4,100,MCMC,8.0,4
8,2,0.4,100,GES,4.0,
8,4,0.2,1000,MCMC,5.0,2
8,4,0.2,1000,GES,2.0,
8,4,0.2,500,MCMC,9.0,3
8,4,0.2,500,GES,2.0,
8,4,0.2,100,MCMC,8.0,5
8,4,0.2,100,GES,4.0,
8,2,0.2,1000,MCMC,5.0,4
8,2,0.2,1000,GES,14.0,
8,2,0.2,500,MCMC,6.0,1
8,2,0.2,500,GES,14.0,
8,2,0.2,100,MCMC,6.0,3
8,2,0.2,100,GES,11.0,
6,3,0.8,1000,MCMC,12.0,2
6,3,0.8,1000,GES,2.0,
6,3,0.8,500,MCMC,6.0,2
6,3,0.8,500,GES,10.0,
6,3,0.8,100,MCMC,15.0,3
6,3,0.8,100,GES,10.0,
6,2,0.8,1000,MCMC,18.0,4
6,2,0.8,1000,GES,13.0,
6,2,0.8,500,MCMC,20.0,3
6,2,0.8,500,GES,14.0,
6,2,0.8,100,MCMC,16.0,2
6,2,0.8,100,GES,15.0,
6,3,0.6,1000,MCMC,2.0,0
6,3,0.6,1000,GES,4.0,
6,3,0.6,500,MCMC,8.0,2
6,3,0.6,500,GES,4.0,
6,3,0.6,100,MCMC,14.0,2
6,3,0.6,100,GES,4.0,
6,2,0.6,1000,MCMC,4.0,2
6,2,0.6,1000,GES,15.0,
6,2,0.6,500,MCMC,4.0,3
6,2,0.6,500,GES,12.0,
6,2,0.6,100,MCMC,8.0,1
6,2,0.6,100,GES,8.0,
6,3,0.4,1000,MCMC,12.0,2
6,3,0.4,1000,GES,3.0,
6,3,0.4,500,MCMC,2.0,1
6,3,0.4,500,GES,3.0,
6,3,0.4,100,MCMC,14.0,2
6,3,0.4,100,GES,3.0,
6,2,0.4,1000,MCMC,2.0,2
6,2,0.4,1000,GES,3.0,
6,2,0.4,500,MCMC,3.0,0
6,2,0.4,500,GES,3.0,
6,2,0.4,100,MCMC,3.0,1
6,2,0.4,100,GES,5.0,
6,3,0.2,1000,MCMC,6.0,1
6,3,0.2,1000,GES,5.0,
6,3,0.2,500,MCMC,12.0,3
6,3,0.2,500,GES,3.0,
6,3,0.2,100,MCMC,7.0,1
6,3,0.2,100,GES,1.0,
6,2,0.2,1000,MCMC,2.0,2
6,2,0.2,1000,GES,0.0,
6,2,0.2,500,MCMC,3.0,0
6,2,0.2,500,GES,0.0,
6,2,0.2,100,MCMC,1.0,2
6,2,0.2,100,GES,0.0,
4,2,0.8,1000,MCMC,0.0,0
4,2,0.8,1000,GES,7.0,
4,2,0.8,500,MCMC,2.0,0
4,2,0.8,500,GES,7.0,
4,2,0.8,100,MCMC,2.0,0
4,2,0.8,100,GES,6.0,
4,2,0.8,1000,MCMC,1.0,1
4,2,0.8,1000,GES,2.0,
4,2,0.8,500,MCMC,2.0,2
4,2,0.8,500,GES,2.0,
4,2,0.8,100,MCMC,2.0,1
4,2,0.8,100,GES,5.0,
4,2,0.6,1000,MCMC,0.0,1
4,2,0.6,1000,GES,3.0,
4,2,0.6,500,MCMC,0.0,0
4,2,0.6,500,GES,3.0,
4,2,0.6,100,MCMC,0.0,2
4,2,0.6,100,GES,5.0,
4,2,0.6,1000,MCMC,5.0,1
4,2,0.6,1000,GES,3.0,
4,2,0.6,500,MCMC,1.0,0
4,2,0.6,500,GES,1.0,
4,2,0.6,100,MCMC,6.0,0
4,2,0.6,100,GES,3.0,
4,2,0.4,1000,MCMC,0.0,1
4,2,0.4,1000,GES,3.0,
4,2,0.4,500,MCMC,0.0,1
4,2,0.4,500,GES,3.0,
4,2,0.4,100,MCMC,0.0,1
4,2,0.4,100,GES,3.0,
4,2,0.4,1000,MCMC,0.0,0
4,2,0.4,1000,GES,2.0,
4,2,0.4,500,MCMC,3.0,2
4,2,0.4,500,GES,4.0,
4,2,0.4,100,MCMC,0.0,0
4,2,0.4,100,GES,2.0,
4,2,0.2,1000,MCMC,0.0,2
4,2,0.2,1000,GES,0.0,
4,2,0.2,500,MCMC,0.0,2
4,2,0.2,500,GES,0.0,
4,2,0.2,100,MCMC,0.0,0
4,2,0.2,100,GES,0.0,
4,2,0.2,1000,MCMC,0.0,0
4,2,0.2,1000,GES,0.0,
4,2,0.2,500,MCMC,0.0,0
4,2,0.2,500,GES,0.0,
4,2,0.2,100,MCMC,1.0,0
4,2,0.2,100,GES,2.0,
8,4,0.8,1000,MCMC,23.0,5
8,4,0.8,1000,GES,37.0,
8,4,0.8,500,MCMC,23.0,4
8,4,0.8,500,GES,37.0,
8,4,0.8,100,MCMC,20.0,5
8,4,0.8,100,GES,27.0,
8,2,0.8,1000,MCMC,29.0,6
8,2,0.8,1000,GES,24.0,
8,2,0.8,500,MCMC,36.0,5
8,2,0.8,500,GES,23.0,
8,2,0.8,100,MCMC,23.0,4
8,2,0.8,100,GES,29.0,
8,4,0.6,1000,MCMC,29.0,4
8,4,0.6,1000,GES,28.0,
8,4,0.6,500,MCMC,26.0,4
8,4,0.6,500,GES,19.0,
8,4,0.6,100,MCMC,22.0,4
8,4,0.6,100,GES,20.0,
8,2,0.6,1000,MCMC,25.0,5
8,2,0.6,1000,GES,18.0,
8,2,0.6,500,MCMC,33.0,5
8,2,0.6,500,GES,28.0,
8,2,0.6,100,MCMC,11.0,5
8,2,0.6,100,GES,25.0,
8,4,0.4,1000,MCMC,10.0,3
8,4,0.4,1000,GES,9.0,
8,4,0.4,500,MCMC,12.0,4
8,4,0.4,500,GES,13.0,
8,4,0.4,100,MCMC,11.0,2
8,4,0.4,100,GES,11.0,
8,2,0.4,1000,MCMC,28.0,5
8,2,0.4,1000,GES,3.0,
8,2,0.4,500,MCMC,8.0,4
8,2,0.4,500,GES,3.0,
8,2,0.4,100,MCMC,9.0,3
8,2,0.4,100,GES,7.0,
8,4,0.2,1000,MCMC,8.0,2
8,4,0.2,1000,GES,0.0,
8,4,0.2,500,MCMC,5.0,3
8,4,0.2,500,GES,2.0,
8,4,0.2,100,MCMC,7.0,3
8,4,0.2,100,GES,4.0,
8,2,0.2,1000,MCMC,5.0,4
8,2,0.2,1000,GES,3.0,
8,2,0.2,500,MCMC,6.0,3
8,2,0.2,500,GES,3.0,
8,2,0.2,100,MCMC,7.0,3
8,2,0.2,100,GES,3.0,
6,3,0.8,1000,MCMC,14.0,2
6,3,0.8,1000,GES,8.0,
6,3,0.8,500,MCMC,13.0,3
6,3,0.8,500,GES,7.0,
6,3,0.8,100,MCMC,16.0,3
6,3,0.8,100,GES,12.0,
6,2,0.8,1000,MCMC,6.0,1
6,2,0.8,1000,GES,12.0,
6,2,0.8,500,MCMC,12.0,2
6,2,0.8,500,GES,10.0,
6,2,0.8,100,MCMC,10.0,1
6,2,0.8,100,GES,11.0,
6,3,0.6,1000,MCMC,12.0,2
6,3,0.6,1000,GES,13.0,
6,3,0.6,500,MCMC,7.0,1
6,3,0.6,500,GES,13.0,
6,3,0.6,100,MCMC,10.0,3
6,3,0.6,100,GES,4.0,
6,2,0.6,1000,MCMC,2.0,1
6,2,0.6,1000,GES,1.0,
6,2,0.6,500,MCMC,10.0,2
6,2,0.6,500,GES,1.0,
6,2,0.6,100,MCMC,10.0,2
6,2,0.6,100,GES,4.0,
6,3,0.4,1000,MCMC,7.0,2
6,3,0.4,1000,GES,3.0,
6,3,0.4,500,MCMC,2.0,1
6,3,0.4,500,GES,3.0,
6,3,0.4,100,MCMC,5.0,0
6,3,0.4,100,GES,6.0,
6,2,0.4,1000,MCMC,3.0,1
6,2,0.4,1000,GES,6.0,
6,2,0.4,500,MCMC,5.0,2
6,2,0.4,500,GES,3.0,
6,2,0.4,100,MCMC,8.0,2
6,2,0.4,100,GES,4.0,
6,3,0.2,1000,MCMC,3.0,0
6,3,0.2,1000,GES,1.0,
6,3,0.2,500,MCMC,3.0,0
6,3,0.2,500,GES,1.0,
6,3,0.2,100,MCMC,1.0,2
6,3,0.2,100,GES,1.0,
6,2,0.2,1000,MCMC,5.0,2
6,2,0.2,1000,GES,7.0,
6,2,0.2,500,MCMC,4.0,2
6,2,0.2,500,GES,3.0,
6,2,0.2,100,MCMC,3.0,3
6,2,0.2,100,GES,3.0,
4,2,0.8,1000,MCMC,0.0,0
4,2,0.8,1000,GES,2.0,
4,2,0.8,500,MCMC,0.0,0
4,2,0.8,500,GES,6.0,
4,2,0.8,100,MCMC,0.0,1
4,2,0.8,100,GES,6.0,
4,2,0.8,1000,MCMC,0.0,0
4,2,0.8,1000,GES,4.0,
4,2,0.8,500,MCMC,0.0,0
4,2,0.8,500,GES,4.0,
4,2,0.8,100,MCMC,5.0,0
4,2,0.8,100,GES,5.0,
4,2,0.6,1000,MCMC,2.0,1
4,2,0.6,1000,GES,3.0,
4,2,0.6,500,MCMC,0.0,0
4,2,0.6,500,GES,3.0,
4,2,0.6,100,MCMC,0.0,1
4,2,0.6,100,GES,3.0,
4,2,0.6,1000,MCMC,0.0,0
4,2,0.6,1000,GES,1.0,
4,2,0.6,500,MCMC,0.0,0
4,2,0.6,500,GES,1.0,
4,2,0.6,100,MCMC,3.0,2
4,2,0.6,100,GES,3.0,
4,2,0.4,1000,MCMC,0.0,0
4,2,0.4,1000,GES,0.0,
4,2,0.4,500,MCMC,0.0,0
4,2,0.4,500,GES,0.0,
4,2,0.4,100,MCMC,2.0,0
4,2,0.4,100,GES,4.0,
4,2,0.4,1000,MCMC,0.0,0
4,2,0.4,1000,GES,1.0,
4,2,0.4,500,MCMC,0.0,0
4,2,0.4,500,GES,5.0,
4,2,0.4,100,MCMC,1.0,0
4,2,0.4,100,GES,4.0,
4,2,0.2,1000,MCMC,0.0,0
4,2,0.2,1000,GES,0.0,
4,2,0.2,500,MCMC,0.0,0
4,2,0.2,500,GES,0.0,
4,2,0.2,100,MCMC,0.0,0
4,2,0.2,100,GES,0.0,
4,2,0.2,1000,MCMC,0.0,0
4,2,0.2,1000,GES,2.0,
4,2,0.2,500,MCMC,0.0,0
4,2,0.2,500,GES,2.0,
4,2,0.2,100,MCMC,1.0,1
4,2,0.2,100,GES,4.0,
8,4,0.8,1000,MCMC,30.0,4
8,4,0.8,1000,GES,29.0,
8,4,0.8,500,MCMC,36.0,4
8,4,0.8,500,GES,30.0,
8,4,0.8,100,MCMC,29.0,4
8,4,0.8,100,GES,29.0,
8,2,0.8,1000,MCMC,22.0,4
8,2,0.8,1000,GES,20.0,
8,2,0.8,500,MCMC,26.0,5
8,2,0.8,500,GES,15.0,
8,2,0.8,100,MCMC,14.0,4
8,2,0.8,100,GES,20.0,
8,4,0.6,1000,MCMC,20.0,3
8,4,0.6,1000,GES,34.0,
8,4,0.6,500,MCMC,22.0,4
8,4,0.6,500,GES,35.0,
8,4,0.6,100,MCMC,25.0,3
8,4,0.6,100,GES,25.0,
8,2,0.6,1000,MCMC,14.0,6
8,2,0.6,1000,GES,15.0,
8,2,0.6,500,MCMC,13.0,5
8,2,0.6,500,GES,12.0,
8,2,0.6,100,MCMC,11.0,4
8,2,0.6,100,GES,18.0,
8,4,0.4,1000,MCMC,12.0,2
8,4,0.4,1000,GES,3.0,
8,4,0.4,500,MCMC,14.0,3
8,4,0.4,500,GES,5.0,
8,4,0.4,100,MCMC,21.0,3
8,4,0.4,100,GES,15.0,
8,2,0.4,1000,MCMC,9.0,1
8,2,0.4,1000,GES,3.0,
8,2,0.4,500,MCMC,9.0,4
8,2,0.4,500,GES,5.0,
8,2,0.4,100,MCMC,8.0,5
8,2,0.4,100,GES,5.0,
8,4,0.2,1000,MCMC,13.0,0
8,4,0.2,1000,GES,2.0,
8,4,0.2,500,MCMC,12.0,2
8,4,0.2,500,GES,2.0,
8,4,0.2,100,MCMC,9.0,3
8,4,0.2,100,GES,2.0,
8,2,0.2,1000,MCMC,6.0,3
8,2,0.2,1000,GES,2.0,
8,2,0.2,500,MCMC,6.0,3
8,2,0.2,500,GES,2.0,
8,2,0.2,100,MCMC,4.0,2
8,2,0.2,100,GES,4.0,
6,3,0.8,1000,MCMC,9.0,2
6,3,0.8,1000,GES,18.0,
6,3,0.8,500,MCMC,12.0,3
6,3,0.8,500,GES,19.0,
6,3,0.8,100,MCMC,9.0,2
6,3,0.8,100,GES,12.0,
6,2,0.8,1000,MCMC,13.0,3
6,2,0.8,1000,GES,20.0,
6,2,0.8,500,MCMC,14.0,3
6,2,0.8,500,GES,13.0,
6,2,0.8,100,MCMC,9.0,3
6,2,0.8,100,GES,8.0,
6,3,0.6,1000,MCMC,4.0,3
6,3,0.6,1000,GES,4.0,
6,3,0.6,500,MCMC,7.0,2
6,3,0.6,500,GES,5.0,
6,3,0.6,100,MCMC,7.0,3
6,3,0.6,100,GES,5.0,
6,2,0.6,1000,MCMC,4.0,3
6,2,0.6,1000,GES,8.0,
6,2,0.6,500,MCMC,8.0,2
6,2,0.6,500,GES,7.0,
6,2,0.6,100,MCMC,10.0,0
6,2,0.6,100,GES,8.0,
6,3,0.4,1000,MCMC,8.0,2
6,3,0.4,1000,GES,7.0,
6,3,0.4,500,MCMC,8.0,2
6,3,0.4,500,GES,7.0,
